»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-12-27,'002079,À’÷›πÃÔΩ,12.86,13.19,11.87,11.97,12.08,0.78,6.457,20.48,149088475,1848108954.39,9361713322.82,9361713322.82
2019-12-26,'002079,À’÷›πÃÔΩ,12.08,13.38,11.92,12.36,12.23,-0.15,-1.2265,23.3009,169624017,2140853903.39,8793895562.96,8793895562.96
2019-12-25,'002079,À’÷›πÃÔΩ,12.23,12.23,10.78,10.85,11.12,1.11,9.982,18.8497,137220097,1595323046.26,8903091286.01,8903091286.01
2019-12-24,'002079,À’÷›πÃÔΩ,11.12,11.33,10.41,10.76,11.02,0.1,0.9074,13.4573,97964984,1068753835.79,8095042935.44,8095042935.44
2019-12-23,'002079,À’÷›πÃÔΩ,11.02,12.69,10.79,11.9,11.79,-0.77,-6.531,18.1906,132422485,1548487805.36,8022245786.74,8022245786.74
2019-12-20,'002079,À’÷›πÃÔΩ,11.79,12.25,10.68,11.06,11.18,0.61,5.4562,18.0682,131531142,1507721774.84,8582783831.73,8582783831.73
2019-12-19,'002079,À’÷›πÃÔΩ,11.18,11.59,10.89,11.02,11.28,-0.1,-0.8865,12.5722,91521690,1024624289.77,8138721224.66,8138721224.66
2019-12-18,'002079,À’÷›πÃÔΩ,11.28,11.76,10.78,10.88,11.05,0.23,2.0814,17.3561,126347335,1436848275.78,8211518373.36,8211518373.36
2019-12-17,'002079,À’÷›πÃÔΩ,11.05,11.25,10.55,10.91,11.03,0.02,0.1813,18.7493,136489754,1478070474.79,8044084931.35,8044084931.35
2019-12-16,'002079,À’÷›πÃÔΩ,11.03,11.03,9.91,10.08,10.03,1.0,9.9701,18.2544,132887000,1426037028.14,8029525501.61,8029525501.61
2019-12-13,'002079,À’÷›πÃÔΩ,10.03,10.46,9.66,9.95,9.96,0.07,0.7028,17.9079,130364647,1310707665.01,7301554014.61,7301554014.61
2019-12-12,'002079,À’÷›πÃÔΩ,9.96,10.37,9.28,9.34,9.43,0.53,5.6204,18.4589,134375233,1343670153.54,7250596010.52,7250596010.52
2019-12-11,'002079,À’÷›πÃÔΩ,9.43,9.82,9.11,9.29,8.94,0.49,5.481,20.2245,147228752,1387926972.23,6864771122.41,6864771122.41
2019-12-10,'002079,À’÷›πÃÔΩ,8.94,8.94,8.02,8.1,8.13,0.81,9.9631,9.2111,67054377,574678278.23,6508065093.78,6508065093.78
2019-12-09,'002079,À’÷›πÃÔΩ,8.13,8.41,8.1,8.2,8.29,-0.16,-1.93,7.3647,53612617,441555216.77,5918408189.31,5918408189.31
2019-12-06,'002079,À’÷›πÃÔΩ,8.29,8.43,7.9,8.02,8.03,0.26,3.2379,8.2351,59949457,489336732.28,6034883627.23,6034883627.23
2019-12-05,'002079,À’÷›πÃÔΩ,8.03,8.23,7.82,7.9,7.88,0.15,1.9036,7.2788,52987921,426521313.16,5845611040.61,5845611040.61
2019-12-04,'002079,À’÷›πÃÔΩ,7.88,8.02,7.82,7.93,8.02,-0.14,-1.7456,4.8446,35267385,278752380.91,5736415317.56,5736415317.56
2019-12-03,'002079,À’÷›πÃÔΩ,8.02,8.11,7.69,7.77,7.9,0.12,1.519,6.7782,49343274,391052735.74,5838331325.74,5838331325.74
2019-12-02,'002079,À’÷›πÃÔΩ,7.9,8.07,7.71,7.8,7.71,0.19,2.4643,7.712,56141117,443661257.23,5750974747.3,5750974747.3
2019-11-29,'002079,À’÷›πÃÔΩ,7.71,7.84,7.62,7.73,7.73,-0.02,-0.2587,4.8277,35144144,271259590.25,5612660164.77,5612660164.77
2019-11-28,'002079,À’÷›πÃÔΩ,7.73,7.83,7.54,7.59,7.62,0.11,1.4436,7.1932,52364609,403066784.18,5627219594.51,5627219594.51
2019-11-27,'002079,À’÷›πÃÔΩ,7.62,7.76,6.93,7.1,7.17,0.45,6.2762,8.4646,61619611,462767538.5,5547142730.94,5547142730.94
2019-11-26,'002079,À’÷›πÃÔΩ,7.17,7.48,7.14,7.36,7.4,-0.23,-3.1081,3.3698,24531446,178377379.39,5219555561.79,5219555561.79
2019-11-25,'002079,À’÷›πÃÔΩ,7.4,7.53,7.08,7.47,7.52,-0.12,-1.5957,3.9113,28473210,208043813.46,5386989003.8,5386989003.8
2019-11-22,'002079,À’÷›πÃÔΩ,7.52,7.74,7.35,7.68,7.68,-0.16,-2.0833,5.3649,39054816,295240588.81,5474345582.24,5474345582.24
2019-11-21,'002079,À’÷›πÃÔΩ,7.68,7.85,7.31,7.33,7.44,0.24,3.2258,7.5917,55265130,422066414.99,5590821020.16,5590821020.16
2019-11-20,'002079,À’÷›πÃÔΩ,7.44,7.72,7.4,7.52,7.57,-0.13,-1.7173,5.5176,40166414,303056708.61,5416107863.28,5416107863.28
2019-11-19,'002079,À’÷›πÃÔΩ,7.57,7.58,7.38,7.46,7.53,0.04,0.5312,4.4357,32290381,242305870.96,5510744156.59,5510744156.59
2019-11-18,'002079,À’÷›πÃÔΩ,7.53,7.68,7.16,7.27,7.21,0.32,4.4383,5.7081,41553645,308041039.74,5481625297.11,5481625297.11
2019-11-15,'002079,À’÷›πÃÔΩ,7.21,7.54,7.18,7.35,7.56,-0.35,-4.6296,6.2054,45173673,332261143.77,5248674421.27,5248674421.27
2019-11-14,'002079,À’÷›πÃÔΩ,7.56,7.71,7.27,7.38,7.37,0.19,2.578,10.2687,74753121,561132992.25,5503464441.72,5503464441.72
2019-11-13,'002079,À’÷›πÃÔΩ,7.37,7.37,6.72,6.79,6.7,0.67,10.0,7.8587,57209126,411050358.54,5365149859.19,5365149859.19
2019-11-12,'002079,À’÷›πÃÔΩ,6.7,6.74,6.51,6.68,6.67,0.03,0.4498,1.4581,10614545,70375773.18,4877408962.9,4877408962.9
2019-11-11,'002079,À’÷›πÃÔΩ,6.67,6.84,6.58,6.63,6.72,-0.05,-0.744,1.4803,10776264,72001347.1,4855569818.29,4855569818.29
2019-11-08,'002079,À’÷›πÃÔΩ,6.72,6.82,6.71,6.75,6.72,0.0,0.0,1.0973,7988299,54114519.25,4891968392.64,4891968392.64
2019-11-07,'002079,À’÷›πÃÔΩ,6.72,6.75,6.59,6.71,6.71,0.01,0.149,1.1884,8650882,57852730.29,4891968392.64,4891968392.64
2019-11-06,'002079,À’÷›πÃÔΩ,6.71,6.83,6.68,6.82,6.74,-0.03,-0.4451,1.5959,11617371,78330695.8,4884688677.77,4884688677.77
2019-11-05,'002079,À’÷›πÃÔΩ,6.74,7.04,6.66,7.01,7.35,-0.61,-8.2993,4.9304,35892031,244949405.54,4906527822.38,4906527822.38
