хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-12-27,'002239,╟бль╪я,1.72,1.75,1.72,1.74,1.74,-0.02,-1.1494,0.692,21397800,37042867.0,5385938197.24,5318727250.2
2019-12-26,'002239,╟бль╪я,1.74,1.77,1.71,1.72,1.71,0.03,1.7544,0.919,28417275,49389780.3,5448565385.58,5380572915.9
2019-12-25,'002239,╟бль╪я,1.71,1.74,1.7,1.74,1.74,-0.03,-1.7241,0.5127,15854640,27237396.6,5354624603.07,5287804417.35
2019-12-24,'002239,╟бль╪я,1.74,1.74,1.69,1.69,1.69,0.05,2.9586,0.6147,19008029,32782195.19,5448565385.58,5380572915.9
2019-12-23,'002239,╟бль╪я,1.69,1.73,1.69,1.72,1.72,-0.03,-1.7442,0.4475,13836514,23577097.66,5291997414.73,5225958751.65
2019-12-20,'002239,╟бль╪я,1.72,1.76,1.72,1.74,1.75,-0.03,-1.7143,0.6555,20268940,35249264.82,5385938197.24,5318727250.2
2019-12-19,'002239,╟бль╪я,1.75,1.78,1.71,1.72,1.72,0.03,1.7442,1.0741,33215222,57818868.47,5479878979.75,5411495748.75
2019-12-18,'002239,╟бль╪я,1.72,1.73,1.7,1.72,1.73,-0.01,-0.578,0.6924,21410220,36767885.2,5385938197.24,5318727250.2
2019-12-17,'002239,╟бль╪я,1.73,1.73,1.7,1.7,1.71,0.02,1.1696,0.8145,25186025,43251520.19,5417251791.41,5349650083.05
2019-12-16,'002239,╟бль╪я,1.71,1.72,1.68,1.7,1.7,0.01,0.5882,0.6303,19490755,33127695.9,5354624603.07,5287804417.35
2019-12-13,'002239,╟бль╪я,1.7,1.72,1.68,1.69,1.69,0.01,0.5917,0.4935,15260048,25928299.12,5323311008.9,5256881584.5
2019-12-12,'002239,╟бль╪я,1.69,1.71,1.68,1.7,1.71,-0.02,-1.1696,0.6717,20769888,35093023.72,5291997414.73,5225958751.65
2019-12-11,'002239,╟бль╪я,1.71,1.75,1.68,1.75,1.81,-0.1,-5.5249,1.9507,60320157,104043309.47,5354624603.07,5287804417.35
2019-12-10,'002239,╟бль╪я,1.81,1.96,1.77,1.78,1.78,0.03,1.6854,2.7846,86106414,161568961.34,5667760544.77,5597032745.85
2019-12-09,'002239,╟бль╪я,1.78,1.81,1.77,1.8,1.8,-0.02,-1.1111,0.406,12555800,22349906.0,5573819762.26,5504264247.3
2019-12-06,'002239,╟бль╪я,1.8,1.83,1.79,1.82,1.83,-0.03,-1.6393,0.4851,15000900,27116222.0,5636446950.6,5566109913.0
2019-12-05,'002239,╟бль╪я,1.83,1.88,1.8,1.8,1.8,0.03,1.6667,0.8069,24952700,45784505.8,5730387733.11,5658878411.55
2019-12-04,'002239,╟бль╪я,1.8,1.84,1.8,1.81,1.83,-0.03,-1.6393,0.4749,14685574,26641789.2,5636446950.6,5566109913.0
2019-12-03,'002239,╟бль╪я,1.83,1.84,1.77,1.79,1.8,0.03,1.6667,0.5908,18270348,33002969.4,5730387733.11,5658878411.55
2019-12-02,'002239,╟бль╪я,1.8,1.8,1.76,1.77,1.77,0.03,1.6949,0.564,17439855,31188902.17,5636446950.6,5566109913.0
2019-11-29,'002239,╟бль╪я,1.77,1.78,1.74,1.77,1.77,0.0,0.0,0.3931,12156895,21348516.92,5542506168.09,5473341414.45
2019-11-28,'002239,╟бль╪я,1.77,1.78,1.75,1.76,1.77,0.0,0.0,0.2708,8372800,14769114.0,5542506168.09,5473341414.45
2019-11-27,'002239,╟бль╪я,1.77,1.8,1.75,1.8,1.8,-0.03,-1.6667,0.5154,15937062,28210919.68,5542506168.09,5473341414.45
2019-11-26,'002239,╟бль╪я,1.8,1.82,1.74,1.76,1.76,0.04,2.2727,0.9377,28997857,51767504.53,5636446950.6,5566109913.0
2019-11-25,'002239,╟бль╪я,1.76,1.77,1.72,1.73,1.74,0.02,1.1494,0.5352,16549645,28915527.68,5511192573.92,5442418581.6
2019-11-22,'002239,╟бль╪я,1.74,1.8,1.73,1.74,1.75,-0.01,-0.5714,0.6963,21530373,37914726.48,5448565385.58,5380572915.9
2019-11-21,'002239,╟бль╪я,1.75,1.76,1.69,1.7,1.71,0.04,2.3392,0.6713,20758519,35953357.78,5479878979.75,5411495748.75
2019-11-20,'002239,╟бль╪я,1.71,1.75,1.7,1.74,1.75,-0.04,-2.2857,0.5117,15822949,27220726.79,5354624603.07,5287804417.35
2019-11-19,'002239,╟бль╪я,1.75,1.77,1.7,1.71,1.72,0.03,1.7442,0.6212,19210208,33357485.84,5479878979.75,5411495748.75
2019-11-18,'002239,╟бль╪я,1.72,1.72,1.67,1.7,1.7,0.02,1.1765,0.5224,16154048,27446049.31,5385938197.24,5318727250.2
2019-11-15,'002239,╟бль╪я,1.7,1.73,1.67,1.72,1.72,-0.02,-1.1628,0.4856,15017229,25479493.83,5323311008.9,5256881584.5
2019-11-14,'002239,╟бль╪я,1.72,1.74,1.7,1.74,1.73,-0.01,-0.578,0.3849,11903055,20457095.72,5385938197.24,5318727250.2
2019-11-13,'002239,╟бль╪я,1.73,1.73,1.68,1.7,1.71,0.02,1.1696,0.5687,17584360,30080579.6,5417251791.41,5349650083.05
2019-11-12,'002239,╟бль╪я,1.71,1.71,1.62,1.63,1.64,0.07,4.2683,1.0615,32825108,55130488.72,5354624603.07,5287804417.35
2019-11-11,'002239,╟бль╪я,1.64,1.69,1.63,1.69,1.69,-0.05,-2.9586,0.4232,13086100,21723757.0,5135429443.88,5071344587.4
2019-11-08,'002239,╟бль╪я,1.69,1.71,1.68,1.69,1.69,0.0,0.0,0.2702,8355540,14128621.8,5291997414.73,5225958751.65
2019-11-07,'002239,╟бль╪я,1.69,1.71,1.67,1.7,1.71,-0.02,-1.1696,0.3754,11609440,19639087.0,5291997414.73,5225958751.65
2019-11-06,'002239,╟бль╪я,1.71,1.73,1.69,1.7,1.69,0.02,1.1834,0.4599,14222387,24332474.17,5354624603.07,5287804417.35
2019-11-05,'002239,╟бль╪я,1.69,1.72,1.68,1.72,1.71,-0.02,-1.1696,0.4102,12683140,21520080.4,5291997414.73,5225958751.65
2019-11-04,'002239,╟бль╪я,1.71,1.72,1.69,1.69,1.7,0.01,0.5882,0.3964,12258240,20965437.4,5354624603.07,5287804417.35
2019-11-01,'002239,╟бль╪я,1.7,1.75,1.66,1.68,1.67,0.03,1.7964,0.6861,21217560,36243964.8,5323311008.9,5256881584.5
2019-10-31,'002239,╟бль╪я,1.67,1.72,1.67,1.71,1.73,-0.06,-3.4682,0.711,21984980,37113116.6,5229370226.39,5164113085.95
2019-10-30,'002239,╟бль╪я,1.73,1.82,1.7,1.8,1.8,-0.07,-3.8889,1.1504,35574342,61986623.82,5417251791.41,5349650083.05
2019-10-29,'002239,╟бль╪я,1.8,1.84,1.78,1.79,1.81,-0.01,-0.5525,1.0915,33752682,60840640.98,5636446950.6,5566109913.0
