ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ
2019-12-27,'002287,Цце§ВивЉ,21.56,21.96,21.53,21.83,21.79,-0.23,-1.0555,0.1987,1047400,22701373.71,11430701907.2,11364792771.6
2019-12-26,'002287,Цце§ВивЉ,21.79,21.8,21.4,21.54,21.44,0.35,1.6325,0.2454,1293634,28022793.07,11552643532.4,11486031284.5
2019-12-25,'002287,Цце§ВивЉ,21.44,21.68,21.41,21.46,21.57,-0.13,-0.6027,0.1303,687064,14792839.19,11367080189.8,11301537895.4
2019-12-24,'002287,Цце§ВивЉ,21.57,21.59,21.25,21.3,21.33,0.24,1.1252,0.1316,693501,14847740.48,11436003717.0,11370064011.3
2019-12-23,'002287,Цце§ВивЉ,21.33,21.72,21.31,21.45,21.48,-0.15,-0.6983,0.18,948855,20437349.57,11308760282.1,11243554258.8
2019-12-20,'002287,Цце§ВивЉ,21.48,21.87,21.48,21.87,21.81,-0.33,-1.5131,0.206,1086004,23495122.04,11388287428.9,11322622854.1
2019-12-19,'002287,Цце§ВивЉ,21.81,21.87,21.45,21.57,21.57,0.24,1.1127,0.3156,1663350,36061973.4,11562592852.0,11496573763.9
2019-12-18,'002287,Цце§ВивЉ,21.57,21.69,21.45,21.59,21.6,-0.03,-0.1389,0.2418,1274326,27439495.74,11435356617.0,11370064011.3
2019-12-17,'002287,Цце§ВивЉ,21.6,21.6,21.08,21.16,21.16,0.44,2.0794,0.3218,1696477,36328804.04,11451261146.4,11385877730.4
2019-12-16,'002287,Цце§ВивЉ,21.16,21.27,20.95,21.25,21.17,-0.01,-0.0472,0.2504,1320073,27805611.42,11217994715.6,11153943184.0
2019-12-13,'002287,Цце§ВивЉ,21.17,21.24,21.04,21.15,20.99,0.18,0.8576,0.1295,682788,14449793.4,11223296225.4,11159214423.7
2019-12-12,'002287,Цце§ВивЉ,20.99,21.13,20.87,20.97,21.02,-0.03,-0.1427,0.1028,541769,11363220.84,11127869049.2,11064332109.3
2019-12-11,'002287,Цце§ВивЉ,21.02,21.39,20.97,21.3,21.3,-0.28,-1.3146,0.1507,794400,16717770.28,11143773578.6,11080145828.4
2019-12-10,'002287,Цце§ВивЉ,21.3,21.3,20.95,21.16,21.17,0.13,0.6141,0.1638,863489,18236873.14,11292215852.7,11227740539.7
2019-12-09,'002287,Цце§ВивЉ,21.17,21.58,21.05,21.39,21.51,-0.34,-1.5807,0.2079,1095656,23304213.19,11223296225.4,11159214423.7
2019-12-06,'002287,Цце§ВивЉ,21.51,21.68,21.42,21.57,21.54,-0.03,-0.1393,0.1428,752935,16209608.62,11403547558.3,11338436573.2
2019-12-05,'002287,Цце§ВивЉ,21.54,21.63,21.22,21.22,21.17,0.37,1.7478,0.2222,1171100,25141326.32,11419452087.7,11354250292.3
2019-12-04,'002287,Цце§ВивЉ,21.17,21.19,20.95,21.0,21.09,0.08,0.3793,0.091,479523,10108561.11,11223296225.4,11159214423.7
2019-12-03,'002287,Цце§ВивЉ,21.09,21.47,20.6,21.47,21.28,-0.19,-0.8929,0.1839,969383,20269578.41,11180884147.1,11117044506.2
2019-12-02,'002287,Цце§ВивЉ,21.28,21.7,21.21,21.59,21.5,-0.22,-1.0233,0.1636,862466,18435945.09,11281612833.1,11217198060.3
2019-11-29,'002287,Цце§ВивЉ,21.5,21.97,21.39,21.7,21.8,-0.3,-1.3761,0.1984,1045792,22610710.48,11398246048.5,11333165333.5
2019-11-28,'002287,Цце§ВивЉ,21.8,21.88,21.04,21.04,21.01,0.79,3.7601,0.3059,1612347,34686312.6,11557291342.2,11491302524.2
2019-11-27,'002287,Цце§ВивЉ,21.01,21.23,20.7,20.7,20.76,0.25,1.2042,0.196,1033264,21706057.06,11138472068.8,11074874588.7
2019-11-26,'002287,Цце§ВивЉ,20.76,21.12,20.71,21.07,21.1,-0.34,-1.6114,0.2648,1395857,29079270.93,11005934324.0,10943093596.4
2019-11-25,'002287,Цце§ВивЉ,21.1,22.8,20.92,22.8,21.66,-0.56,-2.5854,0.5012,2641760,56234664.95,11186185656.9,11122315745.9
2019-11-22,'002287,Цце§ВивЉ,21.66,22.45,21.6,22.43,22.3,-0.64,-2.87,0.3983,2099296,46121115.68,11483070205.1,11417505168.5
2019-11-21,'002287,Цце§ВивЉ,22.3,22.45,21.82,21.9,21.82,0.48,2.1998,0.5096,2686188,59552641.94,11822366831.7,11754864508.7
2019-11-20,'002287,Цце§ВивЉ,21.82,22.18,21.2,21.23,21.2,0.62,2.9245,0.5618,2961529,64572650.43,11567894361.8,11501845003.6
2019-11-19,'002287,Цце§ВивЉ,21.2,21.24,20.56,20.56,20.56,0.64,3.1128,0.1923,1013903,21285404.26,11239200754.8,11175028142.8
2019-11-18,'002287,Цце§ВивЉ,20.56,20.68,20.41,20.6,20.55,0.01,0.0487,0.1162,612301,12577719.95,10899904128.2,10837668802.6
2019-11-15,'002287,Цце§ВивЉ,20.55,21.04,20.52,20.81,20.76,-0.21,-1.0116,0.1163,613245,12736069.93,10894602618.5,10832397563.0
2019-11-14,'002287,Цце§ВивЉ,20.76,21.05,20.67,20.67,20.66,0.1,0.484,0.1032,543900,11342443.15,11005934324.0,10943093596.4
2019-11-13,'002287,Цце§ВивЉ,20.66,21.0,20.62,20.87,21.02,-0.36,-1.7127,0.1124,592471,12304372.05,10952919226.1,10890381199.5
2019-11-12,'002287,Цце§ВивЉ,21.02,21.09,20.65,21.09,20.98,0.04,0.1907,0.1258,663294,13855815.4,11143773578.6,11080145828.4
2019-11-11,'002287,Цце§ВивЉ,20.98,21.66,20.9,21.5,21.76,-0.78,-3.5846,0.2042,1076493,22917379.16,11122567539.4,11059060869.6
2019-11-08,'002287,Цце§ВивЉ,21.76,21.95,21.62,21.91,21.79,-0.03,-0.1377,0.2471,1302579,28373431.38,11536085303.0,11470217565.4
2019-11-07,'002287,Цце§ВивЉ,21.79,21.87,21.43,21.59,21.57,0.22,1.0199,0.2982,1572026,34119583.76,11551989832.4,11486031284.5
2019-11-06,'002287,Цце§ВивЉ,21.57,21.74,21.15,21.17,21.31,0.26,1.2201,0.2692,1418890,30411862.15,11435356617.0,11370064011.3
2019-11-05,'002287,Цце§ВивЉ,21.31,21.4,21.1,21.38,21.19,0.12,0.5663,0.2386,1257534,26745552.01,11297517362.5,11233011779.4
2019-11-04,'002287,Цце§ВивЉ,21.19,21.84,21.0,21.4,21.1,0.09,0.4265,0.3387,1785440,38179648.39,11233899245.0,11169756903.1
2019-11-01,'002287,Цце§ВивЉ,21.1,21.18,20.61,20.92,20.79,0.31,1.4911,0.2345,1236353,25965482.21,11186185656.9,11122315745.9
2019-10-31,'002287,Цце§ВивЉ,20.79,21.19,20.41,20.64,20.51,0.28,1.3652,0.2731,1439401,30123196.79,11021838853.4,10958907315.5
2019-10-30,'002287,Цце§ВивЉ,20.51,20.66,20.21,20.51,20.53,-0.02,-0.0974,0.1316,693898,14231073.14,10873396579.3,10811312604.2
2019-10-29,'002287,Цце§ВивЉ,20.53,20.67,20.29,20.46,20.52,0.01,0.0487,0.1654,871798,17883289.95,10883999598.9,10821855083.6
2019-10-28,'002287,Цце§ВивЉ,20.52,20.68,20.12,20.38,20.4,0.12,0.5882,0.2307,1215942,24711156.69,10878698089.1,10816583843.9
2019-10-25,'002287,Цце§ВивЉ,20.4,20.52,19.93,20.52,20.61,-0.21,-1.0189,0.2626,1384075,27933954.51,10815079971.6,10753328967.6
2019-10-24,'002287,Цце§ВивЉ,20.61,21.45,20.46,21.45,21.14,-0.53,-2.5071,0.2651,1397291,28897244.77,10926411677.2,10864025001.1
2019-10-23,'002287,Цце§ВивЉ,21.14,21.3,20.84,21.07,20.72,0.42,2.027,0.2479,1306783,27578565.67,11207391696.1,11143400704.7
2019-10-22,'002287,Цце§ВивЉ,20.72,20.97,20.52,20.52,20.55,0.17,0.8273,0.1816,957384,19917751.57,10984728284.9,10922008637.7
2019-10-21,'002287,Цце§ВивЉ,20.55,20.8,20.27,20.35,20.5,0.05,0.2439,0.1543,813494,16699758.87,10894602618.5,10832397563.0
2019-10-18,'002287,Цце§ВивЉ,20.5,20.98,20.5,20.81,20.69,-0.19,-0.9183,0.1578,831654,17216412.37,10868095069.5,10806041364.5
2019-10-17,'002287,Цце§ВивЉ,20.69,21.15,20.07,21.15,20.93,-0.24,-1.1467,0.1927,1015591,21183817.51,10968823755.5,10906194918.6
2019-10-16,'002287,Цце§ВивЉ,20.93,21.57,20.67,20.72,20.94,-0.01,-0.0478,0.2479,1306492,27711769.45,11096059990.5,11032704671.2
2019-10-15,'002287,Цце§ВивЉ,20.94,21.12,20.65,20.95,21.1,-0.16,-0.7583,0.1308,689549,14397447.86,11101361500.3,11037975910.9
