晩豚,紘同旗鷹,兆各,辺徒勺,恷互勺,恷詰勺,蝕徒勺,念辺徒,嫻鋸駆,嫻鋸嫌,算返楕,撹住楚,撹住署駆,悳偏峙,送宥偏峙
2019-12-27,'002552,右共親室,26.72,27.88,26.7,27.44,27.64,-0.92,-3.3285,5.4858,16457470,445222906.23,8182528071.36,8016000000.0
2019-12-26,'002552,右共親室,27.64,28.4,27.3,27.59,27.72,-0.08,-0.2886,4.4461,13338238,370611811.64,8464261822.32,8292000000.0
2019-12-25,'002552,右共親室,27.72,28.5,27.18,27.4,27.56,0.16,0.5806,5.2453,15735884,438849858.55,8488760409.36,8316000000.0
2019-12-24,'002552,右共親室,27.56,27.68,26.7,26.79,27.04,0.52,1.9231,4.4886,13465912,367541918.84,8439763235.28,8268000000.0
2019-12-23,'002552,右共親室,27.04,28.08,26.7,28.07,28.08,-1.04,-3.7037,5.5423,16627001,452678573.51,8280522419.52,8112000000.0
2019-12-20,'002552,右共親室,28.08,29.25,27.65,27.66,28.67,-0.59,-2.0579,8.3714,25114192,713804169.23,8599004051.04,8424000000.0
2019-12-19,'002552,右共親室,28.67,31.76,28.6,31.76,31.78,-3.11,-9.786,13.8607,41582085,1242514352.37,8779681130.46,8601000000.0
2019-12-18,'002552,右共親室,31.78,31.78,29.18,29.2,28.89,2.89,10.0035,16.5239,49571747,1530076478.21,9732063701.64,9534000000.0
2019-12-17,'002552,右共親室,28.89,29.79,27.5,27.74,28.04,0.85,3.0314,11.2279,33683613,957105647.66,8847052244.82,8667000000.0
2019-12-16,'002552,右共親室,28.04,28.7,27.0,27.21,27.65,0.39,1.4105,9.7117,29135182,812002817.88,8586754757.52,8412000000.0
2019-12-13,'002552,右共親室,27.65,29.43,26.62,28.22,28.85,-1.2,-4.1594,13.701,41102885,1141486357.98,8467324145.7,8295000000.0
2019-12-12,'002552,右共親室,28.85,31.7,27.8,29.66,28.82,0.03,0.1041,15.6919,47075599,1433800014.28,8834802951.3,8655000000.0
2019-12-11,'002552,右共親室,28.82,28.82,25.6,26.38,26.2,2.62,10.0,11.4333,34299776,943751601.52,8825615981.16,8646000000.0
2019-12-10,'002552,右共親室,26.2,26.5,25.36,26.4,26.58,-0.38,-1.4296,8.6551,25965408,672138252.54,8023287255.6,7860000000.0
2019-12-09,'002552,右共親室,26.58,27.46,24.49,24.49,25.15,1.43,5.6859,10.9499,32849633,856677375.43,8139655544.04,7974000000.0
2019-12-06,'002552,右共親室,25.15,26.45,25.01,25.93,26.08,-0.93,-3.566,8.5257,25577148,648916791.37,7701743300.7,7545000000.0
2019-12-05,'002552,右共親室,26.08,27.19,25.1,25.55,25.33,0.75,2.9609,10.5558,31667334,835919246.55,7986539375.04,7824000000.0
2019-12-04,'002552,右共親室,25.33,25.77,24.3,24.49,24.73,0.6,2.4262,8.2117,24635030,619908922.38,7756865121.54,7599000000.0
2019-12-03,'002552,右共親室,24.73,25.4,24.17,25.29,25.74,-1.01,-3.9239,7.6537,22961020,567955022.56,7573125718.74,7419000000.0
2019-12-02,'002552,右共親室,25.74,26.29,24.7,25.43,25.85,-0.11,-0.4255,9.4,28200087,720785360.14,7882420380.12,7722000000.0
2019-11-29,'002552,右共親室,25.85,28.32,25.05,28.1,27.8,-1.95,-7.0144,12.2459,36737723,973344914.3,7916105937.3,7755000000.0
2019-11-28,'002552,右共親室,27.8,29.65,26.48,26.96,26.97,0.83,3.0775,17.4689,52406706,1468560767.88,8513258996.4,8340000000.0
2019-11-27,'002552,右共親室,26.97,26.97,23.78,24.14,24.52,2.45,9.9918,14.243,42729124,1129964364.93,8259086155.86,8091000000.0
2019-11-26,'002552,右共親室,24.52,25.29,23.7,23.94,23.66,0.86,3.6348,10.7853,32355959,796874612.32,7508816927.76,7356000000.0
2019-11-25,'002552,右共親室,23.66,25.03,23.2,24.47,24.78,-1.12,-4.5198,7.7324,23197107,555274945.36,7245457117.08,7098000000.0
2019-11-22,'002552,右共親室,24.78,26.56,24.12,25.87,26.5,-1.72,-6.4906,10.8322,32496610,820093906.18,7588437335.64,7434000000.0
2019-11-21,'002552,右共親室,26.5,27.93,24.85,25.39,26.18,0.32,1.2223,12.6148,37844494,1001879685.24,8115156957.0,7950000000.0
2019-11-20,'002552,右共親室,26.18,28.77,25.97,28.0,28.86,-2.68,-9.2862,15.3367,46009978,1258309200.1,8017162608.84,7854000000.0
2019-11-19,'002552,右共親室,28.86,28.86,25.38,25.56,26.24,2.62,9.9848,16.9392,50817684,1383247213.03,8837865274.68,8658000000.0
2019-11-18,'002552,右共親室,26.24,30.97,26.24,30.22,29.15,-2.91,-9.9828,16.7045,50113531,1424101525.29,8035536549.12,7872000000.0
2019-11-15,'002552,右共親室,29.15,29.15,25.36,27.0,26.5,2.65,10.0,14.124,42372126,1171029586.48,8926672652.7,8745000000.0
2019-11-14,'002552,右共親室,26.5,26.5,23.5,23.66,24.09,2.41,10.0042,12.4659,37397625,961376985.26,8115156957.0,7950000000.0
