ИХЖЪ,№ЙЖ±ґъВл,ГыіЖ,КХЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,їЄЕМјЫ,З°КХЕМ,ХЗµш¶о,ХЗµш·щ,»»КЦВК,іЙЅ»Бї,іЙЅ»Ѕр¶о,ЧЬКРЦµ,БчНЁКРЦµ
2019-12-27,'002601,Бътю°ЫАы,14.82,15.48,14.78,14.79,14.79,0.03,0.2028,1.1094,22543749,339915071.32,30114549575.0,30114549575.0
2019-12-26,'002601,Бътю°ЫАы,14.79,14.86,14.25,14.39,14.37,0.42,2.9228,0.6989,14201579,208152252.55,30053588948.3,30053588948.3
2019-12-25,'002601,Бътю°ЫАы,14.37,14.57,14.22,14.57,14.58,-0.21,-1.4403,0.5998,12188914,174958700.35,29200140174.9,29200140174.9
2019-12-24,'002601,Бътю°ЫАы,14.58,14.65,14.24,14.43,14.42,0.16,1.1096,0.7117,14461180,208939367.53,29626864561.6,29626864561.6
2019-12-23,'002601,Бътю°ЫАы,14.42,14.8,13.86,13.94,13.89,0.53,3.8157,1.6369,33262790,477171796.38,29301741219.4,29301741219.4
2019-12-20,'002601,Бътю°ЫАы,13.89,14.09,13.83,13.94,13.86,0.03,0.2165,0.8384,17037452,237666569.03,28224770148.2,28224770148.2
2019-12-19,'002601,Бътю°ЫАы,13.86,13.94,13.53,13.58,13.65,0.21,1.5385,0.907,18430136,254303856.41,28163809521.5,28163809521.5
2019-12-18,'002601,Бътю°ЫАы,13.65,13.76,13.46,13.59,13.51,0.14,1.0363,0.7884,16020504,217901189.06,27737085134.8,27737085134.8
2019-12-17,'002601,Бътю°ЫАы,13.51,13.66,13.18,13.31,13.27,0.24,1.8086,1.1278,22916734,307590402.98,27452602210.4,27452602210.4
2019-12-16,'002601,Бътю°ЫАы,13.27,13.37,13.06,13.11,13.0,0.27,2.0769,1.0063,20447520,271062503.38,26964917197.0,26964917197.0
2019-12-13,'002601,Бътю°ЫАы,13.0,13.28,12.98,13.01,12.92,0.08,0.6192,0.7477,15192662,198931737.8,26416271557.0,26416271557.0
2019-12-12,'002601,Бътю°ЫАы,13.07,13.22,13.05,13.09,13.15,-0.08,-0.6084,0.4413,8966994,117768686.48,26558513019.2,26558513019.2
2019-12-11,'002601,Бътю°ЫАы,13.15,13.25,13.04,13.22,13.18,-0.03,-0.2276,0.4699,9548716,125335426.33,26721074690.3,26721074690.3
2019-12-10,'002601,Бътю°ЫАы,13.18,13.24,12.84,12.85,12.85,0.33,2.5681,0.9025,18338045,240382239.97,26782035317.0,26782035317.0
2019-12-09,'002601,Бътю°ЫАы,12.85,13.24,12.81,13.15,13.06,-0.21,-1.608,0.886,18003218,232501497.2,26111468423.7,26111468423.7
2019-12-06,'002601,Бътю°ЫАы,13.06,13.17,12.92,12.97,12.97,0.09,0.6939,0.3633,7383023,96317960.06,26538192810.3,26538192810.3
2019-12-05,'002601,Бътю°ЫАы,12.97,13.0,12.8,12.83,12.79,0.18,1.4073,0.3422,6953032,89824502.38,26355310930.3,26355310930.3
2019-12-04,'002601,Бътю°ЫАы,12.79,12.99,12.7,12.99,13.02,-0.23,-1.7665,0.4992,10143561,130019163.9,25989547170.3,25989547170.3
2019-12-03,'002601,Бътю°ЫАы,13.02,13.03,12.76,12.86,12.85,0.17,1.323,0.3595,7304813,94517760.15,26456911974.8,26456911974.8
2019-12-02,'002601,Бътю°ЫАы,12.85,13.1,12.79,13.02,13.0,-0.15,-1.1538,0.5938,12065682,155591714.88,26111468423.7,26111468423.7
2019-11-29,'002601,Бътю°ЫАы,13.0,13.42,12.9,13.36,13.3,-0.3,-2.2556,0.5907,12002679,156960610.02,26416271557.0,26416271557.0
2019-11-28,'002601,Бътю°ЫАы,13.3,13.7,13.15,13.15,13.16,0.14,1.0638,0.7396,15029287,201266121.51,27025877823.7,27025877823.7
2019-11-27,'002601,Бътю°ЫАы,13.16,13.4,13.06,13.33,13.28,-0.12,-0.9036,0.3508,7128368,94094104.25,26741394899.2,26741394899.2
2019-11-26,'002601,Бътю°ЫАы,13.28,13.53,13.22,13.25,13.25,0.03,0.2264,0.9787,19887186,265267443.83,26985237405.9,26985237405.9
2019-11-25,'002601,Бътю°ЫАы,13.25,13.42,13.15,13.17,13.1,0.15,1.145,0.476,9673342,128346244.49,26924276779.2,26924276779.2
2019-11-22,'002601,Бътю°ЫАы,13.1,13.43,12.99,13.43,13.28,-0.18,-1.3554,0.7041,14307219,188530625.87,26619473645.9,26619473645.9
2019-11-21,'002601,Бътю°ЫАы,13.28,13.36,12.85,12.93,12.9,0.38,2.9457,0.977,19852345,262120210.89,26985237405.9,26985237405.9
2019-11-20,'002601,Бътю°ЫАы,12.9,13.18,12.67,12.71,12.73,0.17,1.3354,1.0854,22056138,286816739.28,26213069468.1,26213069468.1
2019-11-19,'002601,Бътю°ЫАы,12.73,12.76,12.46,12.53,12.59,0.14,1.112,0.6626,13463733,170200823.27,25867625917.0,25867625917.0
2019-11-18,'002601,Бътю°ЫАы,12.59,12.65,12.23,12.23,12.23,0.36,2.9436,0.7689,15624942,195829738.66,25583142992.5,25583142992.5
2019-11-15,'002601,Бътю°ЫАы,12.23,12.48,12.21,12.32,12.37,-0.14,-1.1318,0.2461,5001376,61539507.13,24851615472.5,24851615472.5
2019-11-14,'002601,Бътю°ЫАы,12.37,12.4,12.16,12.16,12.23,0.14,1.1447,0.3132,6365001,78515717.6,25136098396.9,25136098396.9
2019-11-13,'002601,Бътю°ЫАы,12.23,12.32,12.13,12.31,12.32,-0.09,-0.7305,0.2961,6016575,73542286.71,24851615472.5,24851615472.5
2019-11-12,'002601,Бътю°ЫАы,12.32,12.47,12.18,12.35,12.31,0.01,0.0812,0.3122,6343133,77894700.46,25034497352.5,25034497352.5
