ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-12-27,'002615,นþถ๛หน,5.41,5.48,5.41,5.41,5.41,0.0,0.0,0.4805,1971800,10715220.25,2220264000.0,2220264000.0
2019-12-26,'002615,นþถ๛หน,5.41,5.43,5.35,5.35,5.37,0.04,0.7449,0.4332,1778010,9574462.28,2220264000.0,2220264000.0
2019-12-25,'002615,นþถ๛หน,5.37,5.43,5.34,5.4,5.42,-0.05,-0.9225,0.5368,2203080,11851308.7,2203848000.0,2203848000.0
2019-12-24,'002615,นþถ๛หน,5.42,5.42,5.32,5.36,5.35,0.07,1.3084,0.4437,1820777,9784680.8,2224368000.0,2224368000.0
2019-12-23,'002615,นþถ๛หน,5.35,5.44,5.34,5.44,5.43,-0.08,-1.4733,0.4448,1825550,9810422.05,2195640000.0,2195640000.0
2019-12-20,'002615,นþถ๛หน,5.43,5.53,5.43,5.46,5.46,-0.03,-0.5495,0.6213,2549875,13991784.25,2228472000.0,2228472000.0
2019-12-19,'002615,นþถ๛หน,5.46,5.49,5.41,5.44,5.41,0.05,0.9242,0.5429,2228125,12149653.0,2240784000.0,2240784000.0
2019-12-18,'002615,นþถ๛หน,5.41,5.43,5.37,5.4,5.4,0.01,0.1852,0.5034,2066096,11178803.36,2220264000.0,2220264000.0
2019-12-17,'002615,นþถ๛หน,5.4,5.43,5.34,5.35,5.34,0.06,1.1236,0.724,2971485,16018863.96,2216160000.0,2216160000.0
2019-12-16,'002615,นþถ๛หน,5.34,5.36,5.28,5.34,5.33,0.01,0.1876,0.8872,3641005,19389845.65,2191536000.0,2191536000.0
2019-12-13,'002615,นþถ๛หน,5.33,5.33,5.23,5.26,5.24,0.09,1.7176,0.7247,2974229,15734047.79,2187432000.0,2187432000.0
2019-12-12,'002615,นþถ๛หน,5.24,5.26,5.22,5.26,5.25,-0.01,-0.1905,0.218,894800,4685542.5,2150496000.0,2150496000.0
2019-12-11,'002615,นþถ๛หน,5.25,5.26,5.2,5.22,5.24,0.01,0.1908,0.3562,1461775,7663977.75,2154600000.0,2154600000.0
2019-12-10,'002615,นþถ๛หน,5.24,5.24,5.18,5.22,5.24,0.0,0.0,0.3152,1293541,6746723.27,2150496000.0,2150496000.0
2019-12-09,'002615,นþถ๛หน,5.24,5.28,5.19,5.28,5.27,-0.03,-0.5693,0.6763,2775650,14479082.25,2150496000.0,2150496000.0
2019-12-06,'002615,นþถ๛หน,5.27,5.31,5.21,5.29,5.28,-0.01,-0.1894,0.5458,2239846,11763944.42,2162808000.0,2162808000.0
2019-12-05,'002615,นþถ๛หน,5.28,5.3,5.25,5.26,5.26,0.02,0.3802,0.4804,1971600,10408669.0,2166912000.0,2166912000.0
2019-12-04,'002615,นþถ๛หน,5.26,5.32,5.23,5.26,5.26,0.0,0.0,0.2569,1054500,5551661.5,2158704000.0,2158704000.0
2019-12-03,'002615,นþถ๛หน,5.26,5.27,5.22,5.23,5.27,-0.01,-0.1898,0.3073,1261129,6612088.67,2158704000.0,2158704000.0
2019-12-02,'002615,นþถ๛หน,5.27,5.31,5.21,5.24,5.2,0.07,1.3462,0.2812,1153975,6067541.25,2162808000.0,2162808000.0
2019-11-29,'002615,นþถ๛หน,5.2,5.25,5.18,5.22,5.2,0.0,0.0,0.1736,712587,3709113.55,2134080000.0,2134080000.0
2019-11-28,'002615,นþถ๛หน,5.2,5.28,5.19,5.26,5.25,-0.05,-0.9524,0.2832,1162300,6076073.0,2134080000.0,2134080000.0
2019-11-27,'002615,นþถ๛หน,5.25,5.34,5.25,5.28,5.3,-0.05,-0.9434,0.2053,842535,4446881.6,2154600000.0,2154600000.0
