日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'600798,宁波海运,3.5,3.54,3.49,3.53,3.52,-0.02,-0.5682,0.6735,6942924,24436684.0,4222869703.5,3607978318.0
2019-12-26,'600798,宁波海运,3.52,3.52,3.47,3.47,3.48,0.04,1.1494,0.4025,4148989,14538471.0,4247000387.52,3628595336.96
2019-12-25,'600798,宁波海运,3.48,3.52,3.47,3.5,3.51,-0.03,-0.8547,0.3358,3461221,12093002.0,4198739019.48,3587361299.04
2019-12-24,'600798,宁波海运,3.51,3.52,3.46,3.47,3.47,0.04,1.1527,0.4167,4295121,14978942.0,4234935045.51,3618286827.48
2019-12-23,'600798,宁波海运,3.47,3.57,3.45,3.57,3.57,-0.1,-2.8011,0.6495,6694923,23508769.0,4186673677.47,3577052789.56
2019-12-20,'600798,宁波海运,3.57,3.63,3.57,3.59,3.59,-0.02,-0.5571,0.5888,6069160,21790101.0,4307327097.57,3680137884.36
2019-12-19,'600798,宁波海运,3.59,3.63,3.52,3.52,3.53,0.06,1.6997,0.8803,9074962,32480431.0,4331457781.59,3700754903.32
2019-12-18,'600798,宁波海运,3.53,3.58,3.52,3.56,3.56,-0.03,-0.8427,0.6186,6376903,22627699.0,4259065729.53,3638903846.44
2019-12-17,'600798,宁波海运,3.56,3.61,3.5,3.52,3.52,0.04,1.1364,0.8312,8568303,30471857.0,4295261755.56,3669829374.88
2019-12-16,'600798,宁波海运,3.52,3.52,3.47,3.49,3.48,0.04,1.1494,0.5947,6130561,21440399.0,4247000387.52,3628595336.96
2019-12-13,'600798,宁波海运,3.48,3.49,3.45,3.45,3.43,0.05,1.4577,0.5376,5541785,19260190.0,4198739019.48,3587361299.04
2019-12-12,'600798,宁波海运,3.43,3.46,3.43,3.45,3.46,-0.03,-0.8671,0.2789,2874536,9907264.0,4138412309.43,3535818751.64
2019-12-11,'600798,宁波海运,3.46,3.48,3.44,3.44,3.45,0.01,0.2899,0.408,4205900,14552173.0,4174608335.46,3566744280.08
2019-12-10,'600798,宁波海运,3.45,3.47,3.42,3.46,3.47,-0.02,-0.5764,0.3579,3689434,12718142.0,4162542993.45,3556435770.6
