�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-12-27,'600983,需奧ひ,4.93,4.96,4.92,4.93,4.93,0.0,0.0,0.2384,1270000,6273234.0,3778544270.0,2626704000.0
2019-12-26,'600983,需奧ひ,4.93,4.95,4.89,4.92,4.92,0.01,0.2033,0.1601,853188,4195179.0,3778544270.0,2626704000.0
2019-12-25,'600983,需奧ひ,4.92,4.97,4.91,4.96,4.94,-0.02,-0.4049,0.148,788600,3887933.0,3770879880.0,2621376000.0
2019-12-24,'600983,需奧ひ,4.94,4.99,4.89,4.9,4.87,0.07,1.4374,0.2052,1093295,5394472.0,3786208660.0,2632032000.0
2019-12-23,'600983,需奧ひ,4.87,5.03,4.86,4.97,4.97,-0.1,-2.0121,0.2239,1192695,5866672.0,3732557930.0,2594736000.0
2019-12-20,'600983,需奧ひ,4.97,5.04,4.97,5.0,5.02,-0.05,-0.996,0.2232,1189040,5947043.0,3809201830.0,2648016000.0
2019-12-19,'600983,需奧ひ,5.02,5.03,4.96,4.96,4.98,0.04,0.8032,0.2135,1137403,5685140.0,3847523780.0,2674656000.0
2019-12-18,'600983,需奧ひ,4.98,5.03,4.95,4.98,4.98,0.0,0.0,0.2174,1158142,5783015.0,3816866220.0,2653344000.0
2019-12-17,'600983,需奧ひ,4.98,4.99,4.89,4.93,4.92,0.06,1.2195,0.3792,2020409,9982579.0,3816866220.0,2653344000.0
2019-12-16,'600983,需奧ひ,4.92,4.95,4.86,4.91,4.91,0.01,0.2037,0.2692,1434097,7056656.0,3770879880.0,2621376000.0
2019-12-13,'600983,需奧ひ,4.91,4.94,4.87,4.93,4.9,0.01,0.2041,0.2207,1176140,5758904.0,3763215490.0,2616048000.0
2019-12-12,'600983,需奧ひ,4.9,4.96,4.84,4.96,4.98,-0.08,-1.6064,0.3057,1629024,7962441.0,3755551100.0,2610720000.0
2019-12-11,'600983,需奧ひ,4.98,5.15,4.91,4.93,4.92,0.06,1.2195,0.6892,3672243,18575258.0,3816866220.0,2653344000.0
2019-12-10,'600983,需奧ひ,4.92,4.92,4.81,4.85,4.83,0.09,1.8634,0.2532,1348795,6563869.0,3770879880.0,2621376000.0
2019-12-09,'600983,需奧ひ,4.83,4.86,4.81,4.85,4.85,-0.02,-0.4124,0.1581,842204,4071001.0,3701900370.0,2573424000.0
2019-12-06,'600983,需奧ひ,4.85,4.86,4.77,4.77,4.78,0.07,1.4644,0.1867,994604,4799526.0,3717229150.0,2584080000.0
2019-12-05,'600983,需奧ひ,4.78,4.81,4.77,4.8,4.78,0.0,0.0,0.1309,697301,3340301.0,3663578420.0,2546784000.0
2019-12-04,'600983,需奧ひ,4.78,4.82,4.76,4.82,4.82,-0.04,-0.8299,0.076,404800,1934393.0,3663578420.0,2546784000.0
2019-12-03,'600983,需奧ひ,4.82,4.82,4.74,4.74,4.78,0.04,0.8368,0.0948,505001,2415200.0,3694235980.0,2568096000.0
2019-12-02,'600983,需奧ひ,4.78,4.82,4.76,4.81,4.81,-0.03,-0.6237,0.0798,425300,2034323.0,3663578420.0,2546784000.0
2019-11-29,'600983,需奧ひ,4.81,4.82,4.74,4.77,4.76,0.05,1.0504,0.1349,718580,3435633.0,3686571590.0,2562768000.0
2019-11-28,'600983,需奧ひ,4.76,4.79,4.75,4.75,4.78,-0.02,-0.4184,0.0932,496761,2366774.0,3648249640.0,2536128000.0
2019-11-27,'600983,需奧ひ,4.78,4.8,4.75,4.78,4.8,-0.02,-0.4167,0.1373,731400,3489068.0,3663578420.0,2546784000.0
2019-11-26,'600983,需奧ひ,4.8,4.84,4.77,4.83,4.83,-0.03,-0.6211,0.1206,642300,3085764.0,3678907200.0,2557440000.0
2019-11-25,'600983,需奧ひ,4.83,4.84,4.79,4.82,4.82,0.01,0.2075,0.1315,700840,3373812.0,3701900370.0,2573424000.0
2019-11-22,'600983,需奧ひ,4.82,4.83,4.77,4.77,4.77,0.05,1.0482,0.2129,1134400,5449158.0,3694235980.0,2568096000.0
