ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-12-27,'603351,Íþ¶ûÒ©Òµ,33.38,33.65,32.61,32.69,32.68,0.7,2.142,5.8747,1370768,45675842.0,3115468224.4,778868224.4
2019-12-26,'603351,Íþ¶ûÒ©Òµ,32.68,32.7,32.31,32.44,32.44,0.24,0.7398,1.7558,409680,13350467.0,3050134858.4,762534858.4
2019-12-25,'603351,Íþ¶ûÒ©Òµ,32.44,32.56,32.19,32.35,32.48,-0.04,-0.1232,1.8134,423120,13698572.0,3027734847.2,756934847.2
2019-12-24,'603351,Íþ¶ûÒ©Òµ,32.48,32.65,32.15,32.15,32.06,0.42,1.31,1.1588,270380,8764599.0,3031468182.4,757868182.4
2019-12-23,'603351,Íþ¶ûÒ©Òµ,32.06,32.75,32.05,32.75,32.68,-0.62,-1.8972,2.1343,498000,16090148.0,2992268162.8,748068162.8
2019-12-20,'603351,Íþ¶ûÒ©Òµ,32.68,33.22,32.68,33.22,33.0,-0.32,-0.9697,2.0743,484000,15877891.0,3050134858.4,762534858.4
2019-12-19,'603351,Íþ¶ûÒ©Òµ,33.0,33.29,32.58,32.58,32.57,0.43,1.3202,2.8716,670040,22142921.0,3080001540.0,770001540.0
2019-12-18,'603351,Íþ¶ûÒ©Òµ,32.57,32.75,32.37,32.39,32.56,0.01,0.0307,1.9202,448040,14589893.0,3039868186.6,759968186.6
2019-12-17,'603351,Íþ¶ûÒ©Òµ,32.56,32.62,32.24,32.42,32.41,0.15,0.4628,2.582,602460,19561071.0,3038934852.8,759734852.8
2019-12-16,'603351,Íþ¶ûÒ©Òµ,32.41,32.45,31.67,31.67,31.69,0.72,2.272,2.9305,683774,21987153.0,3024934845.8,756234845.8
2019-12-13,'603351,Íþ¶ûÒ©Òµ,31.69,31.73,31.35,31.4,31.4,0.29,0.9236,1.9729,460350,14535048.0,2957734812.2,739434812.2
2019-12-12,'603351,Íþ¶ûÒ©Òµ,31.4,31.74,31.12,31.21,31.22,0.18,0.5766,1.3954,325600,10254413.0,2930668132.0,732668132.0
2019-12-11,'603351,Íþ¶ûÒ©Òµ,31.22,31.69,31.18,31.69,31.7,-0.48,-1.5142,1.5096,352240,11074350.0,2913868123.6,728468123.6
2019-12-10,'603351,Íþ¶ûÒ©Òµ,31.7,31.73,30.98,31.17,31.3,0.4,1.278,2.6759,624378,19583070.0,2958668146.0,739668146.0
2019-12-09,'603351,Íþ¶ûÒ©Òµ,31.3,31.57,31.18,31.29,31.34,-0.04,-0.1276,1.5606,364146,11415607.0,2921334794.0,730334794.0
2019-12-06,'603351,Íþ¶ûÒ©Òµ,31.34,31.37,31.14,31.24,31.23,0.11,0.3522,1.4831,346060,10826712.0,2925068129.2,731268129.2
2019-12-05,'603351,Íþ¶ûÒ©Òµ,31.23,31.29,31.01,31.04,31.01,0.22,0.7094,1.4199,331320,10331799.0,2914801457.4,728701457.4
2019-12-04,'603351,Íþ¶ûÒ©Òµ,31.01,31.17,30.78,30.93,31.02,-0.01,-0.0322,1.3259,309366,9588186.0,2894268113.8,723568113.8
2019-12-03,'603351,Íþ¶ûÒ©Òµ,31.02,31.05,30.54,30.68,30.88,0.14,0.4534,1.1576,270100,8307869.0,2895201447.6,723801447.6
2019-12-02,'603351,Íþ¶ûÒ©Òµ,30.88,30.99,30.69,30.69,30.79,0.09,0.2923,1.039,242426,7472298.0,2882134774.4,720534774.4
2019-11-29,'603351,Íþ¶ûÒ©Òµ,30.79,31.03,30.59,30.9,31.02,-0.23,-0.7415,1.5479,361166,11100872.0,2873734770.2,718434770.2
2019-11-28,'603351,Íþ¶ûÒ©Òµ,31.02,31.2,30.8,30.95,30.98,0.04,0.1291,1.5404,359420,11157694.0,2895201447.6,723801447.6
2019-11-27,'603351,Íþ¶ûÒ©Òµ,30.98,31.16,30.7,30.7,31.19,-0.21,-0.6733,1.4104,329100,10203506.0,2891468112.4,722868112.4
2019-11-26,'603351,Íþ¶ûÒ©Òµ,31.19,31.34,31.07,31.14,31.11,0.08,0.2572,1.1808,275520,8588051.0,2911068122.2,727768122.2
2019-11-25,'603351,Íþ¶ûÒ©Òµ,31.11,31.93,30.93,31.8,31.99,-0.88,-2.7509,2.2966,535872,16770180.0,2903601451.8,725901451.8
2019-11-22,'603351,Íþ¶ûÒ©Òµ,31.99,32.67,31.8,32.26,32.24,-0.25,-0.7754,1.7891,417460,13470386.0,2985734826.2,746434826.2
2019-11-21,'603351,Íþ¶ûÒ©Òµ,32.24,32.55,31.92,31.98,32.15,0.09,0.2799,1.3862,323456,10448887.0,3009068171.2,752268171.2
