ΘΥΖΪ,ΉΙΖ±΄ϊΒλ,Γϋ³Ζ,ΚΥΕΜΌΫ,ΧξΈίΌΫ,ΧξµΝΌΫ,ΏªΕΜΌΫ,Η°ΚΥΕΜ,ΥΗµψ¶ξ,ΥΗµψ·ω,»»ΚΦΒΚ,³Ι½»ΑΏ,³Ι½»½π¶ξ,ΧάΚΠΦµ,ΑχΝ¨ΚΠΦµ
2019-12-27,'603885,ΌªΟιΊ½ΏΥ,14.81,14.94,14.41,14.43,14.4,0.41,2.8472,0.8402,15099280,223362558.0,29118594965.2,26613769594.4
2019-12-26,'603885,ΌªΟιΊ½ΏΥ,14.4,14.57,14.21,14.21,14.21,0.19,1.3371,0.4159,7473572,107731114.0,28312475860.8,25876994068.8
2019-12-25,'603885,ΌªΟιΊ½ΏΥ,14.21,14.27,13.99,14.11,14.11,0.1,0.7087,0.3589,6448653,91187589.0,27938908471.0,25535561508.2
2019-12-24,'603885,ΌªΟιΊ½ΏΥ,14.11,14.21,13.82,14.09,14.1,0.01,0.0709,0.4615,8293773,116304263.0,27742294055.3,25355860160.5
2019-12-23,'603885,ΌªΟιΊ½ΏΥ,14.1,14.3,13.77,13.9,13.92,0.18,1.2931,0.6234,11202033,158265581.0,27722632613.7,25337890025.7
2019-12-20,'603885,ΌªΟιΊ½ΏΥ,13.92,14.43,13.89,14.24,14.22,-0.3,-2.1097,0.5051,9077131,127530610.0,27368726665.4,25014427599.8
2019-12-19,'603885,ΌªΟιΊ½ΏΥ,14.22,14.35,13.98,14.0,13.96,0.26,1.8625,0.5691,10227548,145170745.0,27958569912.5,25553531642.9
2019-12-18,'603885,ΌªΟιΊ½ΏΥ,13.96,14.12,13.78,13.86,13.71,0.25,1.8235,0.8358,15019571,209677923.0,27447372431.7,25086308138.9
2019-12-17,'603885,ΌªΟιΊ½ΏΥ,13.71,13.89,13.25,13.3,13.35,0.36,2.6966,1.1055,19866267,270962143.0,26955836392.5,24637054769.7
2019-12-16,'603885,ΌªΟιΊ½ΏΥ,13.35,13.35,13.06,13.2,13.19,0.16,1.213,0.6048,10868584,143716380.0,26248024496.0,23990129918.0
2019-12-13,'603885,ΌªΟιΊ½ΏΥ,13.19,13.64,13.08,13.31,13.04,0.15,1.1503,1.2376,22240721,295560098.0,25933441430.8,23702607761.6
2019-12-12,'603885,ΌªΟιΊ½ΏΥ,13.04,13.32,12.96,13.32,13.34,-0.3,-2.2489,0.9324,16755077,219503833.0,25638519807.3,23433055740.1
2019-12-11,'603885,ΌªΟιΊ½ΏΥ,13.34,13.46,13.15,13.2,13.19,0.15,1.1372,0.5543,9961465,132774864.0,26228363054.4,23972159783.2
2019-12-10,'603885,ΌªΟιΊ½ΏΥ,13.19,13.38,13.09,13.3,13.33,-0.14,-1.0503,0.7086,12734159,168214450.0,25933441430.8,23702607761.6
2019-12-09,'603885,ΌªΟιΊ½ΏΥ,13.33,13.54,13.1,13.32,13.35,-0.02,-0.1498,0.7758,13940524,185491608.0,26208701612.8,23954189648.4
2019-12-06,'603885,ΌªΟιΊ½ΏΥ,13.35,13.49,13.0,13.41,13.4,-0.05,-0.3731,0.6689,12020906,159295938.0,26248024496.0,23990129918.0
