»’∆Џ,є…∆±іъ¬л,√ы≥∆, ’≈ћЉџ,„оЄяЉџ,„оµЌЉџ,њ™≈ћЉџ,«∞ ’≈ћ,’«µшґо,’«µшЈщ,її ÷¬ ,≥…љїЅњ,≥…љїљрґо,„№ –÷µ,ЅчЌ® –÷µ
2019-12-27,'603993,¬е—фов“µ,4.33,4.53,4.14,4.18,4.16,0.17,4.0865,2.4123,426153960,1860573279.0,93524711724.4,76492795284.4
2019-12-26,'603993,¬е—фов“µ,4.16,4.23,4.08,4.2,4.2,-0.04,-0.9524,1.1144,196875066,815706143.0,89852840825.3,73489613945.3
2019-12-25,'603993,¬е—фов“µ,4.2,4.25,4.02,4.07,4.1,0.1,2.439,2.1107,372875144,1547264784.0,90716810448.6,74196244848.6
2019-12-24,'603993,¬е—фов“µ,4.1,4.1,3.73,3.74,3.73,0.37,9.9196,2.6772,472942878,1881595486.0,88556886390.3,72429667590.3
2019-12-23,'603993,¬е—фов“µ,3.73,3.82,3.71,3.73,3.73,0.0,0.0,0.5154,91051901,343353996.0,80565167374.6,65893331734.6
2019-12-20,'603993,¬е—фов“µ,3.73,3.83,3.72,3.82,3.8,-0.07,-1.8421,0.3482,61505400,231989283.0,80565167374.6,65893331734.6
2019-12-19,'603993,¬е—фов“µ,3.8,3.84,3.79,3.8,3.81,-0.01,-0.2625,0.3971,70151704,267146236.0,82077114215.4,67129935815.4
2019-12-18,'603993,¬е—фов“µ,3.81,3.84,3.78,3.81,3.82,-0.01,-0.2618,0.4957,87573521,332882917.0,82293106621.2,67306593541.2
2019-12-17,'603993,¬е—фов“µ,3.82,3.88,3.76,3.78,3.76,0.06,1.5957,1.0228,180677063,693055038.0,82509099027.1,67483251267.1
2019-12-16,'603993,¬е—фов“µ,3.76,3.79,3.72,3.78,3.76,0.0,0.0,0.4049,71534777,267563821.0,81213144592.1,66423304912.1
2019-12-13,'603993,¬е—фов“µ,3.76,3.76,3.71,3.72,3.68,0.08,2.1739,0.5261,92943905,347504066.0,81213144592.1,66423304912.1
2019-12-12,'603993,¬е—фов“µ,3.68,3.74,3.67,3.71,3.71,-0.03,-0.8086,0.3103,54825613,203172267.0,79485205345.4,65010043105.4
2019-12-11,'603993,¬е—фов“µ,3.71,3.79,3.69,3.79,3.76,-0.05,-1.3298,0.4773,84323630,313545414.0,80133182562.9,65540016282.9
2019-12-10,'603993,¬е—фов“µ,3.76,3.8,3.72,3.74,3.74,0.02,0.5348,0.5637,99581540,374517425.0,81213144592.1,66423304912.1
2019-12-09,'603993,¬е—фов“µ,3.74,3.79,3.72,3.77,3.74,0.0,0.0,0.5797,102410029,384554650.0,80781159780.4,66069989460.4
2019-12-06,'603993,¬е—фов“µ,3.74,3.82,3.62,3.63,3.62,0.12,3.3149,1.4666,259087362,972089255.0,80781159780.4,66069989460.4
2019-12-05,'603993,¬е—фов“µ,3.62,3.65,3.59,3.63,3.61,0.01,0.277,0.5146,90908088,329040886.0,78189250910.5,63950096750.5
2019-12-04,'603993,¬е—фов“µ,3.61,3.64,3.48,3.49,3.51,0.1,2.849,0.7793,137661706,495730591.0,77973258504.6,63773439024.6
2019-12-03,'603993,¬е—фов“µ,3.51,3.53,3.47,3.48,3.5,0.01,0.2857,0.2678,47304574,165461738.0,75813334446.3,62006861766.3
2019-12-02,'603993,¬е—фов“µ,3.5,3.57,3.48,3.55,3.56,-0.06,-1.6854,0.4454,78678517,276852697.0,75597342040.5,61830204040.5
2019-11-29,'603993,¬е—фов“µ,3.56,3.61,3.53,3.58,3.58,-0.02,-0.5587,0.3077,54359035,194071978.0,76893296475.5,62890150395.5
2019-11-28,'603993,¬е—фов“µ,3.58,3.65,3.57,3.6,3.63,-0.05,-1.3774,0.6008,106140917,383156068.0,77325281287.1,63243465847.1
2019-11-27,'603993,¬е—фов“µ,3.63,3.68,3.5,3.5,3.48,0.15,4.3103,1.1789,208253854,749891148.0,78405243316.3,64126754476.3
